"Sec Short Name","Board","Session Name","Last","Last Time","Bid Depth","Bid Price","Total Value","Offer Price","Total Volume","Offer Depth","Issued Qty","Security","Ref Price","Change Price","High Limit","Low Limit","Daily Value","Daily Volume","Number of Trades","MM Rule Tag","Contract Size","High","Low","Unadj Prev Price","Previous Date","Inherited State","Open","Open Qty","Close","Change Percent","Avg Price","52 Week High Price","52 Week Low Price","TOP","Orders","Last Auction Price","Has News","Change LTP","Sec Name","ISIN","Quote Basis","Security Board State","Previous Close","Market Cap","CB Ref Price","Change Ref Price","Change CB Ref Price","Change Percent Ref Price","Close Bid Price","Close Bid Depth","Close Offer Price","NMS","Close Offer Depth","CB High Limit","CB Low Limit","Ref Price Div Adj","52 Week High Date","52 Week Low Date","Accrued Interest","Adjustment Factor","Avg Yield","Bid Yield","Board Name","CB Ref Yield","Change CB Ref Yield","Change Ref Yield","Change Yield","Close Bid Yield","Close Offer Yield","Closing Yield","Coupon Rate","Currency Id","Expiry Price","High Yield","Instrument","Is Tradeable","Issue Date","Issuer Id","Last Qty","Last Yield","Low Yield","Market Maker Quotation Status","Maturity Date","Max Qty","Min Qty","Next Coupon Date","Number of Bids","Number of Offers","Off Mkt Last","Off Mkt Last Qty","Off Mkt Value Today","Off Mkt Volume Today","Offer Yield","Open Yield","Option Strike","Option Verb","Previous Yield","Qty Multiplier","Ref Price Date Time","Ref Yield","Sector","Security Remarks","Settlement Date","Settlement Price","Settlement Price Type","TOV","Underlying Security"
"ALOLA","BUY-IN","Enquiry","","","","","","","","","649442622","219","54.5","","65.4","54.5","","","","0","1","","","38.5","","A","","","","","","","","","","","","","FIRST INVESTMENT COMPANY","KW0EQ0203012","","A","38.5","25003540.947","38.5","","","","","","","","","","","38.5","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS219T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"ALMAL","BUY-IN","Enquiry","","","","","","","","","310245097","220","27.8","","33.3","27.8","","","","0","1","","","23.4","","A","","","","","","","","","","","","","AL-MAL INVESTMENT COMPANY","KW0EQ0200752","","A","23.4","7259735.270","23.4","","","","","","","","","","","23.4","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS220T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"GIH","BUY-IN","Enquiry","","","","","","","","","164202440","221","1.4","","1.6","1.4","","","","0","1","","","13.5","","A","","","","","","","","","","","","","GULF INVESTMENT HOUSE","KW0EQ0200760","","A","13.5","2216732.940","13.5","","","","","","","","","","","13.5","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS221T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"AAYAN","BUY-IN","Enquiry","","","","","","","","","801673982","222","48.2","","57.8","48.2","","","","0","1","","","33.8","4/3/2018","A","","","","","","33.8","33.8","","","","","","AAYAN LEASING & INVESTMENT CO.","KW0EQ0200786","","A","33.8","27096580.592","33.8","","","","","","","","","","","33.8","4/3/2018","4/3/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS222T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"BAYANINV","BUY-IN","Enquiry","","","","","","","","","362344713","223","44.1","","52.9","44.1","","","","0","1","","","30.9","","A","","","","","","","","","","","","","BAYAN INVESTMENT CO.","KW0EQ0200802","","A","30.9","11196451.632","30.9","","","","","","","","","","","30.9","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS223T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"OSOUL","BUY-IN","Enquiry","","","","","","","","","188359482","225","65.3","","78.3","65.3","","","","0","1","","","61.0","","A","","","","","","","","","","","","","OSOUL INVESTMENT CO.","KW0EQ0200877","","A","61.0","11489928.402","61.0","","","","","","","","","","","61.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS225T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"KFIC","BUY-IN","Enquiry","","","","","","","","","308843341","227","50.2","","60.2","50.2","","","","0","1","","","45.0","","A","","","","","","","","","","","","","KUWAIT FINANCE & INVESTMENT CO.","KW0EQ0201198","","A","45.0","13897950.345","45.0","","","","","","","","","","","45.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS227T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"KAMCO","BUY-IN","Enquiry","","","","","","","","","237448325","228","74.5","","89.4","74.5","","","","0","1","","","69.0","","A","","","","","","","","","","","","","KAMCO INVESTMENT COMPANY K.S.C (PUBLIC)","KW0EQ0201289","","A","69.0","16383934.425","69.0","","","","","","","","","","","69.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS228T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"NIH","BUY-IN","Enquiry","","","","","","","","","200287127","231","60.6","","72.7","60.6","","","","0","1","","","55.0","","A","","","","","","","","","","","","","NATIONAL INTERNATIONAL HOLDING CO.","KW0EQ0201677","","A","55.0","11015791.985","55.0","","","","","","","","","","","55.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS231T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"UNICAP","BUY-IN","Enquiry","","","","","","","","","237691055","232","53.9","","64.6","53.9","","","","0","1","","","48.1","","A","","","","","","","","","","","","","UNICAP INVESTMENT AND FINANCE","KW0EQ0201792","","A","48.1","11432939.746","48.1","","","","","","","","","","","48.1","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS232T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
